id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,review_bin,high_demand,group,price_original,discount_pct,predicted_high_demand_prob,revenue_proxy
35008790,263744321,Manhattan,Hell's Kitchen,40.76275,-73.99271,Entire home/apt,428.0,3,1,1,244,Low,0,control,428,0.0,0.4450722357788823,190.49091691336162
30393778,107434423,Manhattan,Murray Hill,40.74478,-73.9727,Entire home/apt,245.1,30,0,232,235,,0,5%_reduction,258,0.05,0.2811732599498163,68.91556601369997
29411009,173685298,Manhattan,Midtown,40.75674,-73.97201,Private room,296.1,1,1,11,178,Low,0,10%_reduction,329,0.1,0.4452905756424329,131.8505394477244
22081871,19909719,Brooklyn,Greenpoint,40.72397,-73.94695,Entire home/apt,250.75,7,1,2,0,Low,0,15%_reduction,295,0.15,0.1815606694972856,45.526337876444366
6044268,6657363,Manhattan,Battery Park City,40.71111,-74.01567,Entire home/apt,195.0,7,0,1,0,,0,control,195,0.0,0.2150816992200322,41.94093134790628
30389504,107434423,Manhattan,Chelsea,40.73947,-73.99777,Entire home/apt,268.84999999999997,30,0,232,334,,0,5%_reduction,283,0.05,0.2999331665988472,80.63703184010006
35768150,268205314,Manhattan,Chinatown,40.71598,-73.99549,Entire home/apt,269.1,1,2,1,334,Low,0,10%_reduction,299,0.1,0.5016690677987257,134.99914614463708
34415755,259796664,Queens,Long Island City,40.75297,-73.93698,Entire home/apt,424.15,1,0,10,341,,0,15%_reduction,499,0.15,0.3824267826171452,162.20631984706213
35217816,265171569,Brooklyn,Bedford-Stuyvesant,40.68882,-73.94784,Entire home/apt,300.0,3,1,1,282,Low,0,control,300,0.0,0.5040191937254316,151.20575811762947
2012424,275744,Manhattan,Midtown,40.76542,-73.98081,Entire home/apt,166.25,2,4,1,0,Low,0,5%_reduction,175,0.05,0.32467866408699786,53.977827904463396
21769473,4654206,Manhattan,SoHo,40.72131,-73.99816,Entire home/apt,445.5,5,2,1,2,Low,0,10%_reduction,495,0.1,0.38529156919503754,171.64739407638922
33181402,1940153,Brooklyn,Bedford-Stuyvesant,40.68164,-73.9262,Entire home/apt,169.15,2,3,1,67,Low,0,15%_reduction,199,0.15,0.605508698552168,102.42179636009922
23169146,51260506,Queens,Long Island City,40.74786,-73.94628,Shared room,1250.0,1,1,1,173,Low,0,control,1250,0.0,0.3088141424525039,386.01767806562987
33549508,4345155,Brooklyn,Greenpoint,40.73293,-73.95889,Entire home/apt,237.5,5,0,1,174,,0,5%_reduction,250,0.05,0.471227340943167,111.91649347400215
21980316,5191980,Brooklyn,Crown Heights,40.67728,-73.95676,Entire home/apt,180.0,2,0,1,0,,0,10%_reduction,200,0.1,0.3264665284782904,58.76397512609227
22762560,4441023,Manhattan,Hell's Kitchen,40.75497,-73.99788,Entire home/apt,382.5,2,2,1,0,Low,0,15%_reduction,450,0.15,0.2838101799193785,108.55739381916229
9880827,30283594,Manhattan,Midtown,40.76693,-73.98139,Entire home/apt,239.0,30,0,121,352,,0,control,239,0.0,0.268087902448302,64.07300868514417
14961253,94196548,Manhattan,Upper East Side,40.77883,-73.95205,Entire home/apt,208.04999999999998,1,5,1,0,Low,0,5%_reduction,219,0.05,0.2089355175758215,43.46903443164966
5582283,26098783,Brooklyn,Sunset Park,40.65118,-74.00842,Private room,1800.0,2,0,2,365,,0,10%_reduction,2000,0.1,0.2677120031304454,481.88160563480176
26098654,6568666,Brooklyn,Clinton Hill,40.69003,-73.96865,Entire home/apt,232.9,2,0,1,24,,0,15%_reduction,274,0.15,0.5110181758674229,119.01613315952281
439870,1903758,Brooklyn,Park Slope,40.66859,-73.98235,Entire home/apt,299.0,20,0,1,149,,0,control,299,0.0,0.3010509358588233,90.01422982178816
34056750,91854658,Manhattan,Midtown,40.75196,-73.97269,Entire home/apt,475.0,4,0,1,5,,0,5%_reduction,500,0.05,0.3798646202360748,180.43569461213553
6829990,3759488,Brooklyn,Fort Greene,40.6886,-73.97409,Entire home/apt,247.5,4,1,1,146,Low,0,10%_reduction,275,0.1,0.4856520110394099,120.19887273225396
35165258,264837278,Manhattan,Chelsea,40.75055,-73.99237,Entire home/apt,425.0,3,4,1,313,Low,0,15%_reduction,500,0.15,0.4192348651404035,178.17481768467147
20051114,9851499,Manhattan,Upper West Side,40.78284,-73.97203,Entire home/apt,175.0,1,0,1,0,,0,control,175,0.0,0.27223164709156017,47.64053824102303
31143457,4783028,Manhattan,Midtown,40.75334,-73.98719,Entire home/apt,237.5,2,4,1,0,Low,0,5%_reduction,250,0.05,0.3037936946148146,72.15100247101847
35416249,217803692,Brooklyn,Greenpoint,40.72194,-73.94332,Entire home/apt,360.0,3,0,1,358,,0,10%_reduction,400,0.1,0.3806381093535938,137.02971936729378
4154009,17477908,Manhattan,Upper West Side,40.79545,-73.96595,Entire home/apt,212.5,30,5,10,303,Low,0,15%_reduction,250,0.15,0.3040346213068972,64.60735702771565
20459381,17575348,Manhattan,Greenwich Village,40.73334,-73.99416,Entire home/apt,200.0,2,3,1,0,Low,0,control,200,0.0,0.29885286251100396,59.77057250220079
22794272,3750764,Manhattan,Chelsea,40.74881,-74.00473,Entire home/apt,1045.0,1,0,6,0,,0,5%_reduction,1100,0.05,0.15557738062530152,162.57836275344008
1276554,6903334,Brooklyn,Brooklyn Heights,40.70117,-73.99147,Private room,180.0,1,3,1,0,Low,0,10%_reduction,200,0.1,0.26908740570832634,48.43573302749874
27521147,131493626,Manhattan,Murray Hill,40.74828,-73.97917,Entire home/apt,679.15,5,5,1,340,Low,0,15%_reduction,799,0.15,0.35014435022158324,237.80053545298824
30108978,36021544,Manhattan,Hell's Kitchen,40.76375,-73.99201,Entire home/apt,250.0,6,0,1,87,,0,control,250,0.0,0.3877137620377258,96.92844050943144
30012164,30466297,Brooklyn,Clinton Hill,40.68632,-73.96292,Entire home/apt,427.5,2,5,1,11,Low,0,5%_reduction,450,0.05,0.4142403721829839,177.0877591082256
26061532,28811203,Manhattan,Flatiron District,40.73986,-73.9863,Entire home/apt,314.1,7,3,1,188,Low,0,10%_reduction,349,0.1,0.34896454916451103,109.60976489257293
3629381,18287550,Manhattan,Upper East Side,40.77242,-73.96212,Entire home/apt,212.5,7,3,1,0,Low,0,15%_reduction,250,0.15,0.18016732068593744,38.285555645761704
30015529,53444504,Brooklyn,Williamsburg,40.71633,-73.94138,Entire home/apt,200.0,1,5,1,0,Low,0,control,200,0.0,0.2087593892886857,41.75187785773714
9106735,29721928,Manhattan,West Village,40.73001,-74.00369,Entire home/apt,185.25,3,5,1,0,Low,0,5%_reduction,195,0.05,0.317275467640869,58.77528038047098
4606473,23862900,Manhattan,East Village,40.72887,-73.98633,Entire home/apt,197.1,5,1,1,0,Low,0,10%_reduction,219,0.1,0.26761282266480246,52.746487347232566
3448037,634096,Brooklyn,Williamsburg,40.71644,-73.95876,Entire home/apt,212.5,1,0,1,0,,0,15%_reduction,250,0.15,0.2139355175758215,45.461297484862065
27783928,12243051,Manhattan,Midtown,40.7469,-73.98438,Entire home/apt,239.0,29,0,96,305,,0,control,239,0.0,0.3062102698312328,73.18425448966464
34498482,6397405,Manhattan,Chelsea,40.74484,-73.99688,Entire home/apt,261.25,2,2,1,15,Low,0,5%_reduction,275,0.05,0.5032906315977308,131.48467750490718
26320521,159498011,Manhattan,Midtown,40.7657,-73.98075,Entire home/apt,360.0,2,5,1,0,Low,0,10%_reduction,400,0.1,0.2746451482028995,98.87225335304382
2268632,3619427,Queens,Sunnyside,40.73817,-73.92463,Entire home/apt,510.0,4,0,1,0,,0,15%_reduction,600,0.15,0.27257335062157395,139.01240881700272
22233024,23261539,Manhattan,Nolita,40.72344,-73.99592,Entire home/apt,225.0,7,1,1,0,Low,0,control,225,0.0,0.17832072606418062,40.12216336444064
32643993,160356,Manhattan,East Village,40.7253,-73.98401,Entire home/apt,237.5,1,5,4,233,Low,0,5%_reduction,250,0.05,0.5163178464600003,122.62548853425008
30792372,230375654,Manhattan,Upper West Side,40.78168,-73.98099,Entire home/apt,225.0,2,0,1,0,,0,10%_reduction,250,0.1,0.2980881932778322,67.06984348751224
3453488,2533026,Brooklyn,Williamsburg,40.71204,-73.95628,Entire home/apt,170.0,30,0,1,0,,0,15%_reduction,200,0.15,0.24499640377189913,41.64938864122285
34363955,10166570,Manhattan,East Village,40.72246,-73.98455,Entire home/apt,230.0,1,1,1,0,Low,0,control,230,0.0,0.20285505346929303,46.656662297937395
6850801,27287584,Brooklyn,Prospect-Lefferts Gardens,40.6613,-73.94457,Entire home/apt,237.5,4,0,1,0,,0,5%_reduction,250,0.05,0.2845374151778371,67.57763610473631
19162994,95471685,Manhattan,Chelsea,40.74814,-73.98956,Entire home/apt,252.0,7,0,1,0,,0,10%_reduction,280,0.1,0.1815606694972856,45.753288713315975
4853870,11064999,Brooklyn,Brooklyn Heights,40.69454,-73.99547,Entire home/apt,233.75,5,0,1,0,,0,15%_reduction,275,0.15,0.24802896370690447,57.97677026648892
9969559,3859737,Manhattan,Upper East Side,40.76481,-73.95651,Entire home/apt,225.0,3,5,1,0,Low,0,control,225,0.0,0.27831754737021686,62.62144815829879
22295591,70079814,Brooklyn,Sheepshead Bay,40.60583,-73.95165,Entire home/apt,190.0,3,4,1,0,Low,0,5%_reduction,200,0.05,0.31063486701301396,59.020624732472655
35717719,257033785,Manhattan,Upper West Side,40.77219,-73.98991,Entire home/apt,360.0,2,0,1,15,,0,10%_reduction,400,0.1,0.43406514440248506,156.26345198489463
7582706,12757332,Manhattan,Financial District,40.70406,-74.01227,Entire home/apt,297.5,1,0,1,0,,0,15%_reduction,350,0.15,0.18627743122754967,55.41753579019603
2974957,588899,Brooklyn,Prospect Heights,40.67925,-73.9688,Entire home/apt,200.0,14,2,1,0,Low,0,control,200,0.0,0.1787720559073738,35.75441118147476
15646864,8712217,Brooklyn,Greenpoint,40.72667,-73.95221,Entire home/apt,190.0,4,0,1,0,,0,5%_reduction,200,0.05,0.3050042369008108,57.95080501115405
9882440,30283594,Manhattan,Hell's Kitchen,40.76704,-73.98355,Entire home/apt,332.1,30,3,121,345,Low,0,10%_reduction,369,0.1,0.27555268602024374,91.51104702732296
14936181,11293255,Brooklyn,Bedford-Stuyvesant,40.68789,-73.9575,Private room,182.75,3,3,1,0,Low,0,15%_reduction,215,0.15,0.312275467640869,57.06834171136881
35379267,265178222,Manhattan,West Village,40.73168,-74.00195,Entire home/apt,295.0,3,2,1,195,Low,0,control,295,0.0,0.508132716347474,149.89915132250485
35386983,266398080,Manhattan,Kips Bay,40.74535,-73.97753,Entire home/apt,331.55,1,4,1,265,Low,0,5%_reduction,349,0.05,0.4861716890181536,161.19022349396883
34742133,1709876,Brooklyn,Greenpoint,40.72128,-73.94663,Entire home/apt,166.5,4,0,1,176,,0,10%_reduction,185,0.1,0.5896594139069388,98.17829241550531
32342911,190921808,Manhattan,Hell's Kitchen,40.75572,-73.99509,Entire home/apt,552.5,3,1,47,297,Low,0,15%_reduction,650,0.15,0.42987774652571065,237.50745495545513
34868954,262883761,Brooklyn,Williamsburg,40.71359,-73.94875,Entire home/apt,203.0,3,4,1,254,Low,0,control,203,0.0,0.5343697592312647,108.47706112394674
20602769,24323380,Brooklyn,Bedford-Stuyvesant,40.69315,-73.9565,Entire home/apt,171.0,3,1,1,0,Low,0,5%_reduction,180,0.05,0.3088135836417333,52.807122802736394
19236716,134672751,Staten Island,West Brighton,40.62398,-74.10801,Private room,180.0,3,0,1,365,,0,10%_reduction,200,0.1,0.4484769763521422,80.7258557433856
13171703,22541573,Manhattan,Murray Hill,40.74855,-73.98019,Entire home/apt,169.15,30,2,87,364,Low,0,15%_reduction,199,0.15,0.2674141859744929,45.23310955758548
6006711,28429835,Manhattan,East Village,40.72753,-73.98749,Private room,250.0,1,1,1,0,Low,0,control,250,0.0,0.18162304505874274,45.40576126468569
5257388,27212322,Manhattan,Hell's Kitchen,40.75563,-73.99424,Private room,1377.5,1,0,1,0,,0,5%_reduction,1450,0.05,0.15399843325688048,212.13284181135285
35166913,229492192,Manhattan,Midtown,40.76022,-73.96607,Entire home/apt,206.1,1,2,1,356,Low,0,10%_reduction,229,0.1,0.4733764488473902,97.56288610744713
9367923,24975940,Manhattan,Greenwich Village,40.73294,-73.99726,Private room,211.65,4,0,2,0,,0,15%_reduction,249,0.15,0.2792960044332594,59.11299933829935
35228252,98442821,Manhattan,East Village,40.7267,-73.97965,Entire home/apt,205.0,1,1,1,349,Low,0,control,205,0.0,0.4742535986348983,97.22198772015415
19912535,19863077,Manhattan,East Village,40.72574,-73.98498,Entire home/apt,182.39999999999998,1,0,1,0,,0,5%_reduction,192,0.05,0.26908740570832634,49.08154280119872
